V1,V2
ZNF263,C3
ZNF263,CA5A
ZNF263,ZFAND5
ZNF263,MFSD11
ZNF263,C1orf35
ZNF263,NEIL1
ZNF263,PARP8
ZNF263,ZNF668
ZNF263,MCTP1
ZNF263,DNAJC22
ZNF263,PRR7
ZNF263,ZNF34
ZNF263,TRIM11
ZNF263,PPP1R14C
ZNF263,ARPC5L
ZNF263,NUF2
ZNF263,TRAPPC9
ZNF263,TMEM164
ZNF263,MEX3B
ZNF263,LTBP4
ZNF263,CAMKK1
ZNF263,EFCAB2
ZNF263,DDI2
ZNF263,HES7
ZNF263,SLC9A7
ZNF263,TUBA1C
ZNF263,C19orf48
ZNF263,TRIM52
ZNF263,LINGO1
ZNF263,PLXDC2
ZNF263,PPM1D
ZNF263,PDXK
ZNF263,CDK13
ZNF263,SSNA1
ZNF263,EIF3G
ZNF263,STX16
ZNF263,RGS9
ZNF263,DLK1
ZNF263,SYNJ2
ZNF263,CCND2
ZNF263,ACVR1
ZNF263,RNF8
ZNF263,TRIM41
ZNF263,SCARF2
ZNF263,GGTLC2
ZNF263,SLC16A3
ZNF263,SLC39A13
ZNF263,P2RX6
ZNF263,XPR1
ZNF263,ITGB1BP1
ZNF263,TJP2
ZNF263,GGPS1
ZNF263,HOMER1
ZNF263,BAG3
ZNF263,PPM1F
ZNF263,HS2ST1
ZNF263,PDE4DIP
ZNF263,ZNF646
ZNF263,TRIM14
ZNF263,MRC2
TRIM28,CEBPB
TRIM28,CTCF
TRIM28,ZNF274
TRIM28,E2F4
TRIM28,ESR1
TRIM28,NR3C1
TRIM28,PAX5
TRIM28,SETDB1
TRIM28,STAT5A
TRIM28,MAPK1
TRIM28,E2F3
TRIM28,ABL1
TRIM28,CBX3
TRIM28,CHAF1A
TRIM28,HIRA
TRIM28,HIST1H2BJ
TRIM28,ID1
TRIM28,ID3
TRIM28,SERTAD2
TRIM28,TRIM24
TRIM28,ZNF300
TRIM28,ZNF350
TRIM28,ZNF382
TRIM28,RCC1
TRIM28,ZNF280A
TRIM28,CRKL
TRIM28,ZNF280B
TRIM28,YDJC
TRIM28,ZNF595
TRIM28,CCDC116
TRIM28,PRAME
TRIM28,SDF2L1
TRIM28,PPIL2
TRIM28,ZNF718
TRIM28,YPEL1
TRIM28,GLTPD2
TRIM28,SP5
TRIM28,PI4KA
TRIM28,NBPF1
TRIM28,CXCL16
TRIM28,BCR
TRIM28,NUP214
TRIM28,AIF1L
TRIM28,SNHG3
TRIM28,TOP3B
