GSM535604	GSM535605	GSM535606	GSM535607	GSM535608	GSM535609	GSM535610	GSM535611	GSM535612	GSM535613	GSM535614	GSM535615	GSM535616	GSM535617	GSM535618	GSM535619	GSM535620	GSM535621	GSM535622
HS3ST4	-0.213138412889904	-0.13115858582793	-0.235331457384787	-0.199660331315332	-0.24033124741655	-0.210058666621921	-0.255946354112607	-0.232151384764484	-0.234239137490814	-0.265443388695862	-0.240072808208715	4.1273883195538	-0.226722843817773	-0.219389744994407	-0.213246216456208	-0.234616359894571	-0.225107255041404	-0.283665001228827	-0.267109123391703
HSD17B6	0.526538381177614	1.65848421083312	-0.508601866732159	-0.165743666222724	0.691078989284086	-0.0856433943093571	0.0587779344576175	0.213844073652912	0.443341413721137	-1.39533906552147	-1.34010720191286	-0.869007303554484	-1.38001231467416	-1.38038623678623	-0.245322175504838	1.44265447256157	1.38554602795238	-0.278417627778063	1.22831534935591
INHBA	0.823857244109009	1.02010543737828	0.750325643853466	0.263120798296033	0.675429237988883	0.143023268738493	0.372131373617791	0.669021110413753	-0.458152679354616	-1.53982486196898	-1.23633133624695	-1.79424861888361	-1.03894330830492	-1.67219553451616	-0.361839330759407	1.27986036510433	0.543809780193163	0.558598143518631	1.00225326682282
JUN	1.29027685206639	-0.301918188210116	1.1303895589405	-0.207909526918552	0.534091674378744	-1.7395961739753	-0.00274093676561389	0.988047803272208	-0.435419876807261	1.34893167898605	-1.19558676154425	0.0222161730011161	-1.07761819330611	0.916726157066532	0.32765782554419	1.29290221036473	-0.595276189810313	-1.60982702482144	-0.68534706146152
KRAS	0.334099881718609	0.305628606147846	0.254186725510189	0.192917896178	0.324525466710654	0.76351026075585	1.08842363701768	0.601417057272413	-0.764852719839738	-0.694786232261735	-0.262692283162093	-0.881452289414976	-0.569441962433199	-2.17397840536027	1.60284866305916	1.87405161209263	0.172588911755555	-0.950354053638973	-1.21664077210759
OXTR	-0.315174490139635	0.596247212317792	0.0813930140099659	-0.481727606886141	-0.696337928362772	-0.291230379616608	-0.305032716724427	-0.420168523051165	-0.506373791485314	-0.606997045695739	2.11461569859492	2.53520540986585	-0.874117391732331	1.58826627179935	0.0405055424527742	-0.319886410684692	-0.751538032797709	-0.58152812362348	-0.806120708240651
PDE1C	0.215441976865434	-0.437889425853779	-0.039584952111345	-0.302524120723873	-0.436214285749903	-0.323575735980462	-0.443258277088827	-0.418807376157523	-0.422239994995722	-0.416831631817853	1.10467433156877	3.79162511501814	-0.116048373990344	0.368152417638471	-0.389541874063036	-0.422465465999532	-0.410334294970073	-0.452350807222659	-0.44822722436588
PENK	-0.425135611427091	3.76191595206644	-0.420363466621625	0.0433990207476549	-0.438069230253427	-0.424065607440398	0.236965222724614	-0.433555387429853	-0.435131963158517	-0.361729449738822	1.0626198466379	0.213162293372665	0.0364667160313189	0.142535860666317	-0.361729449738822	-0.581170677574775	-0.573593918570802	-0.608795782885161	-0.43372436740762
PITX1	-0.3834468968945	-1.12757012533015	1.16682750024105	-1.11077289961659	0.717468069187097	-0.273991727823433	1.37192424939795	1.5112293566492	0.385247628053929	-0.714678425063182	-0.715571872652751	-1.23940425551098	-0.764626775141741	-0.391295581483062	-0.715219804836067	0.254785272596762	2.23933544561461	-0.398494166165855	0.188255008777708
SLC24A2	0.636939117699295	-0.439332193351594	-0.183244877916121	1.7108961505181	-0.316600879882404	1.14758207404162	-2.07048320359147	0.10722323059871	0.0452698823105733	0.0631300243919048	-0.625689394682894	0.804728638646561	0.653563578321354	1.16679014397875	0.64882237310107	-0.0740735259006924	-0.0124732982302661	-1.89700924031314	-1.36603859973934
WNT10B	-0.621602325117683	-0.654297930904544	0.53380775177644	-0.570323197274348	-0.614349897763779	-0.523480738199199	-0.721537315255716	-0.635015039540861	-0.636031417699288	1.96232748301516	0.166208722942499	0.397102399056039	2.79020198825098	-0.570323197274348	-0.555046477459103	0.669169769019058	0.905118217471127	-0.656529286104131	-0.665399508938306
WNT4	-0.516042840356282	-0.0651712176001109	0.999851535082334	-0.728082876863205	-0.922030321537305	-0.375387139724324	-0.435053774767939	-0.368974878846278	2.77717631801092	-0.381939614818022	0.276579764946176	-0.408110013516111	-0.383700154616839	-0.329750679516379	-0.377876173568712	-0.404548799476154	-0.386559529522644	2.43079387488697	-0.401173478196089
ZBTB33	0.298868264438949	-0.505401990631141	-0.011088603905504	-0.591939217983934	-0.102639189904025	0.911234271943964	0.969459938900847	-0.768069867090682	0.522164951329187	-1.44064947785926	-0.813562328432816	1.67153333411955	-1.0387390640975	-0.298408059213001	-1.13469348751501	2.54301327865945	-0.34429021621621	-0.133584389636954	0.266791853094108
