GSM952871	GSM952872	GSM952873	GSM952874	GSM952875	GSM952876	GSM952877	GSM952878	GSM952879	GSM952880	GSM952881	GSM952882	GSM952883	GSM952884	GSM952885	GSM952886	GSM952887	GSM952888	GSM952889	GSM952890	GSM952891	GSM952892	GSM952893	GSM952894	GSM952895	GSM952896	GSM952897	GSM952898	GSM952899	GSM952900	GSM952901	GSM952902	GSM952903	GSM952904	GSM952905	GSM952906	GSM952907	GSM952908	GSM952909	GSM952910	GSM952911	GSM952912	GSM952913
E2F6	-2.12254346685421	-0.101869977561689	-0.00421061615004785	0.00996178456994045	0.23580129081254	-0.133452685509989	-0.112298382663068	1.18813440278134	0.663419131186376	0.432089538503578	1.4092272329946	-0.151393381471759	1.04941538124195	-0.75914364893096	1.51541165084911	0.706109915183657	1.46570408409147	0.453311001922228	0.179462415184709	0.636996711487232	0.786876656960831	-0.21656360427415	-0.820073276289324	1.69119376605578	0.33826275401192	1.24636630066146	-1.24412852749234	-0.752919648699748	-1.94626718745944	1.03079500668005	-0.570152901796964	-0.397286490603962	0.134206871803121	-1.40466973273298	0.387279360322475	0.344074416349826	0.432089538503578	-0.395033520890163	0.925861676148249	-3.09154905849593	-1.0911500410925	-0.701374174277901	0.410455982184427
EGR2	-0.234191391025095	0.729230806702818	-0.271408204768428	0.443158589770465	0.723552349628735	-0.157892816548177	-1.17584709337385	1.24861864954821	0.0864148673583901	0.0308934668241773	0.22413364846006	0.230220582744897	0.0522915167045677	-0.595233760787187	0.235260334259788	1.01950035036685	0.706288563811353	0.199345865285124	-0.414957382740275	-1.44078568543545	-0.314106313732407	0.369021372093659	0.850449389959162	0.999065111065832	0.368160658541871	-1.89685322848811	-1.20215749635208	-0.766988187733791	0.805028001977637	0.269735364298468	0.466516127443467	1.32835886253843	1.18438859639212	-0.122139682474559	0.111147502411684	0.729230806702818	1.08929128743345	1.04339864053943	1.29382781407913	-0.953334657274002	0.186678891065124	0.921197437960665	-0.869524057622251
ELK1	1.52954208616752	0.48408846954593	1.53713499257224	1.09887137009566	0.253579186580299	0.605027382178489	0.446244771235097	-0.0899913357764621	0.85469990854443	0.590626958345833	-0.842019220937189	-0.300393896141717	0.505719769997925	-0.842019220937189	-0.587796048925041	-0.245527302234665	1.84346436716523	0.890496747408702	1.24466967058658	-0.263588288212538	-0.371307823906991	0.0898285989766333	0.555475816658878	-0.640592080140747	0.0589261541223806	-0.445838500366784	1.00385828222989	0.0898285989766333	1.19766783305054	0.902236820132491	-1.48567479788583	-0.954199388355015	-0.396679108500163	-0.11792144415304	-0.141611285198323	0.379238204349988	0.647396470365608	-0.210061373762553	-2.69055496755884	-1.05772095627388	1.12921774448631	-0.71644845632817	0.269890181346994
FGF1	0.172088690387935	-0.833666361210373	-1.42725816591366	1.42502278894272	-1.12270616542739	0.0408306560221629	0.245517613813747	-0.656656504201564	-1.1077566202711	-0.552116922406198	1.23330161616871	-0.792978298064132	-0.197710139647443	-1.04535397195471	1.17730374980864	-0.629956331625869	0.338545419133797	0.523011225496083	-0.931446335344691	-1.51200101441042	0.10436519432304	-0.760060919335697	-0.159137072614397	-0.647631377776187	-1.40183426036578	-1.61591833625902	-1.10683383440253	-1.46013503783038	-0.3926440198181	0.281885268777876	1.61832609120092	1.52678702215614	1.38956733591957	1.32232797719831	1.41107678964829	0.606903560642604	0.835088174718129	0.19394712510028	0.817413128567812	1.17984371623505	1.47634860903374	1.44203612196815	-0.171736707007809
FGF8	1.76162850558907	1.60252184493044	-0.446505181540562	1.07357610085017	3.38583359113204	-0.499598280143596	0.372027889023661	1.47354955574813	-0.662565493786187	0.758757705642522	0.0822246325776869	-0.233209993142064	-0.566726637521929	-0.770848745516559	-0.423409258055274	-0.0849966512911252	0.499200205707581	-0.197501996154559	-0.446505181540562	-0.411973172902661	-0.493619903312333	-0.798985638674381	0.450822507715507	-0.458166980512625	0.0908294409811819	-0.523715482787264	-0.328476400814167	-0.61719515829612	0.519536035442519	0.293399733876117	-0.366952669136519	1.61528088135642	-1.05810686318251	-0.542021191605912	-0.729463510439071	-0.548165346978348	-0.264400012807442	0.18689417644934	-0.301495863940163	-0.610807450301752	0.00284179849958806	-0.458166980512625	2.99863382324831
HEYL	0.181604320036372	0.223907045093732	-0.158716598119777	1.02731612675589	0.954572777135456	0.96178350053425	0.0774044051243404	1.34982911006485	0.274114920588107	-1.99155497329514	-2.23638013296113	0.0647347562802366	1.18936925189043	0.808377969570957	-2.21422587586983	0.790903823524901	0.153423339215002	0.804043982814832	0.630604233735177	-1.533384605539	1.46482945264528	0.136041169170952	0.382294812800481	0.298519335190654	1.25733858568623	-1.09268827823834	-0.606918182071332	-0.444081249246328	-0.085368569037847	1.25482527299603	0.0176686398147277	0.21950840612715	0.464925976185326	-0.328433657159207	0.0847062317045962	-0.296513447631355	-2.43454737688835	-0.803848022001933	-0.730994562454751	-0.349248774274671	-0.323310853250362	-0.782792753185969	-0.0394543572138701
HNF1A	1.37473364060622	-1.07225589078386	-0.711256928371406	0.664929819516322	0.511726028492863	-0.273126603882619	-0.0642293982765243	1.02663303264168	-1.22255007616119	0.258537835298943	-0.2874670246449	-0.757301374320246	-0.4730063574518	-1.3537436456336	-0.897845757174877	1.31621070157024	0.973534985003582	-1.06119455297847	-0.943773622436714	-1.00153419382984	-0.790242296198955	-0.067414743747243	1.67888587728409	-0.102827743347145	-0.387348421540635	-0.928334773678734	-0.843246309999359	0.711177032332804	0.654252603409826	0.662799397921526	0.534747324500924	1.31621070157024	-0.425783202038914	0.664929819516322	-0.425783202038914	-0.115878546251613	1.51327833141988	0.532458297346137	1.09509601725746	-1.11718831240717	0.586613177976242	-0.794997354699998	-0.445310341929966
HPD	1.37134844076356	-0.660763206314417	0.774368989935574	0.877895614899382	0.391731893072936	-0.552444073817298	0.00530697105304588	0.752585971011026	-0.734963389758527	0.211795254617989	-0.175766176331603	-0.418489113605018	-0.699076491806529	-0.813881339892384	-0.565081335397229	-0.382336944798144	-0.63362332285592	-0.0627146974576408	0.451959877812831	-0.62359688695696	0.230339526767318	0.132909150866871	0.867922868660395	-0.199193290812486	-0.101450601935539	-0.230324725002414	-0.515286181544004	-0.34189036404427	-0.223070954234728	-0.0149149780944199	-0.521402451210579	0.00128884381950225	-0.962062301800958	-0.706171369578228	-0.647119110421881	-0.67803191627987	0.172102082321019	-0.36060159356015	-0.500126039210177	1.09596105279038	-0.182748014213034	-0.295031964082867	-0.368707826260223
HS3ST4	-0.433731347832863	-0.488837557115261	-1.01075725815971	-0.642165913289063	1.49503908909589	-1.00733333762615	-0.596045633842058	1.04309270151159	-0.938109002194039	0.717067303922317	-0.208280441484419	-0.985170471275588	-1.08831177479539	-1.12694455686701	-0.185312512066404	0.359410213173198	-1.05031238632354	-1.17099428091505	-1.02354714835161	0.673832231194905	-0.990606326116915	-1.12247881189927	1.14249886796155	0.148017043009606	-0.893010839636579	-1.02710150537523	0.205656930318232	0.110422689550042	1.4840155555555	0.0796966360382651	1.48772116360278	0.651750559495847	0.638981130607897	0.200011388438019	1.2192931419475	1.35200634302765	1.01011578479741	1.24773525091047	0.942075719549077	1.59509027691302	1.3007228652142	1.28572725830065	0.70163356547644
HSD17B6	-0.279403882368505	-0.44969661270198	0.421577458964803	1.15219022898647	1.14702319769633	0.420114282754004	-1.13437774243844	1.10974513906488	0.0580621968712489	0.780681703960615	-0.465084695037266	0.400809381464462	0.756644380392085	-0.836696950645142	-0.8747469880796	-0.858185989765687	0.673047915896522	1.8414670700202	-0.382045308549015	-0.48081860576291	0.856108551891735	0.462731669849364	0.667926243005024	0.555531502038806	-0.359385416085085	0.412752179564846	-0.377454278576466	0.237010942651889	0.790242901815462	0.742000613893872	-0.60213126009361	-0.524590955915266	-1.32552579801002	-1.52990090451297	-0.0449672202097669	-1.52047140760759	-0.53597542727188	-0.0280958119763172	-1.1479993698111	-1.1384364759039	-0.703777477063125	-0.775116694075131	-0.73357472126704
INHBA	1.41075381437151	0.206499187256515	1.54903487395222	1.4509122662827	0.520874709027239	1.87219650321571	0.989386306475729	0.766507219544526	-0.931095905242739	0.282747790029722	-0.792459410862066	-1.21900398637358	1.66225034192355	-0.859981052410676	-0.859981052410676	-0.0171180213645771	1.842514446542	1.40390827856201	0.0683353580332197	-0.604828927760657	1.86485456204249	-0.869992825688718	-0.76480434723094	-0.223114306049565	0.457780591325623	-1.04120793706971	0.384588354194975	-0.439101028715824	0.862964490763739	1.87948728062025	-0.544161364320403	0.116446010061766	-1.16829304404545	-0.466101813036277	-0.284510295691274	-0.916270644492577	-0.660961594339993	-0.574055464432953	-0.062613116221762	-1.1263336433887	-0.976875434907259	-0.792459410862066	-0.119954716761972
